id,name,birth
340190,"Frédéric Grendel",1924
1173191,"Terence Schreurs",1976
136192,"Maite Rivera Carbonell",1976
221192,"Shirili Deshe",1968
238192,"Clara Droetto",1942
748193,"Marianna Rubinchik",1974
629195,"Adama Niane",1966
3145196,"Joe Gariffo",1986
196,"Mike Myers",1963
765197,"Zeljko Saric",1945
5270197,"Douglas Stahl",1986
799197,"Lilia Silvi",1921
1428198,"Laila Boonyasak",1982
1105201,"Simon Gentry",1966
1377203,"Erik Menendez",1971
205,"Parker Posey",1968
1921206,"Rick Andres",1977
2584207,"Dorothy Vogel",1935
1377207,"Santiago Mitre",1980
209,"Tim Robbins",1958
2448209,"Serena Fang",1984
629212,"Michael Niavarani",1968
255213,"Larry Ellison",1944
629216,"Phil Nibbelink",1955
612219,"Paul Muller",1923
374220,"Si Heiman",1961
867222,"Chen-Chung Tang",1956
612223,"Peter Paul Muller",1965
225,"Christian Slater",1969
1870225,"Calvin Yu",1976
799226,"Satu Silvo",1962
3281226,"Paul Blair",1981
170227,"Arduíno Colassanti",1936
170228,"Manfredo Colassanti",1902
4947229,"Jeff Trink",1968
3485229,"Palina Rojinski",1985
374229,"Richard G. Heimann",1931
561230,"Humberto Mauro",1897
1292231,"Vincent Foster",1969
2227232,"Rick Mischke",1966
1326232,"Michael McGee",1965
34232,"Rein Aren",1927
3859232,"Salahuddin",1926
884233,"Greg Valentine",1951
459233,"Thomas Klemm",1961
17235,"Bob Alcivar",1938
1377236,"Robert Perisic",1969
799238,"Ana María Simón",1973
239,"Liv Tyler",1977
442239,"Peter Kaufman",1960
240,"Skeet Ulrich",1970
1292241,"Kristin Franke",1981
2397241,"Huntun Batu",1979
646241,"Craig Olejnik",1979
782242,"Baba Sehgal",1965
1802244,"Kristoffer Metcalfe",1978
244,"Sigourney Weaver",1949
1938245,"Carlos M. Mora",1965
1156245,"Jeremy Roenick",1970
85246,"Don Black",1938
289247,"Sean Fox",1979
799247,"Hannah Sim",1962
1241247,"Gaz Evans",1984
833248,"Christian Strand",1980
782249,"Bo Sehlberg",1944
153249,"Jean-Michel Charlier",1924
7956249,"Courtney Shaffer",1987
561255,"Richard Mauro",1952
289255,"Melodee Spevack",1953
256,"Jenny Agutter",1952
4573256,"Travis W. Fox",1970
867256,"Pete Tong",1960
8500257,"Addy Singh",1987
391257,"Lars Hollmer",1948
3043258,"Gustavo Egelhaaf",1984
6630259,"Marusya Klimova",1989
34260,"Rodolfo Arena",1910
3621260,"Casey de Fremery",1987
261,"Karen Allen",1951
6970262,"Carmen Muga",1991
1768263,"Alix Delaporte",1969
1802264,"Shannon Newby",1973
374265,"Raoul W. Heimrich",1964
952266,"Aleksandr Zakharov",1951
527267,"Sheila Lussier",1967
1989269,"John Taylor",1966
269,"Jean-Jacques Annaud",1943
2516272,"Ilinca Harnut",1984
273,"Alan Arkin",1934
1037273,"Ching-Yao Liao",1976
3179274,"Simona Vrbická",1965
374275,"Christoph Hein",1944
391276,"Vladimír Hollos",1941
276,"Sean Astin",1971
1003276,"Dimitar Petrov",1924
4250276,"Tomasz Zietek",1989
9061279,"J.C. Lin",1991
323281,"Obrad Gluscevic",1913
1734282,"José Manuel Serrano Cueto",1976
850283,"Sergey Tarasov",1933
1564283,"Alisa Murray",1987
340284,"Macha Grenon",1968
391284,"Ann Holloway",1947
3706285,"Alba García",1992
1972285,"Sven Frauenhoff",1970
901287,"Dragoljub Vojnov",1947
1785287,"Rana Kazkaz",1971
1071287,"David Imper",1979
833288,"Claus Strandberg",1948
102288,"Lisa Boyle",1964
1598289,"Youssef Hesham",1985
374290,"Peter Hein",1957
272293,"Anna Ferencová",1927
5287293,"Köken Ergun",1976
323293,"Evgeniya Glushenko",1952
3859295,"Antonia Lingemann",1996
296,"Robert Beltran",1953
3213296,"Özcan Alper",1975
34297,"Reynaldo Arenas",1943
595297,"Jolanda Modio",1946
952297,"Esti Zakheim",1965
8959299,"Elizabeth Isaacson",1982
51300,"Bruno Balz",1902
476301,"Yuriy Kushneryov",1937
136301,"Tim Card",1963
2567302,"Stepan Pisakhov",1879
952303,"Aamir Zaki",1968
170303,"Robert Colbert",1931
357303,"Faten Hamamah",1931
663303,"Chris Parr",1943
1768304,"Gee Malik Linton",1973
3026304,"M. Kelley",1986
51304,"Honoré de Balzac",1799
305,"Mel Blanc",1908
3434305,"Abbi Jacobson",1984
17305,"Todd Alcott",1961
306,"Brian Blessed",1936
34307,"André Arend van de Noord",1964
3213307,"Shontelle",1985
272308,"Csongor Ferenczy",1939
309,"David Bowie",1947
1343309,"Víctor Hugo Rascón Banda",1948
1326310,"Herbert Aptheker",1915
2329310,"Dave McGrath",1981
799312,"Jon Simanton",1970
170313,"Marie Colbin",1957
544314,"George Manupelli",1931
2482315,"Renato Góes",1986
527315,"Marlena Lustik",1944
748317,"Edgardo Rubio",1964
697318,"Dan Priest",1924
425318,"Jay Johnson",1949
306320,"Manolo García",1933
782320,"Tatja Seibt",1944
612322,"Robert Mulligan",1925
1921322,"Juan Carlos Zavala",1978
1088323,"Wallace Terry",1938
782324,"Art Seid",1914
2941325,"Meda Andreea Victor",1981
1887326,"Omar El-Saeidi",1980
2142326,"Jeff Pope",1976
1462327,"Turgun Azizov",1934
952328,"Henry Zakka",1956
4454328,"Noah Byström",1995
329,"Jackie Chan",1954
544330,"Kiti Mánver",1953
2720333,"Valeria Vera",1979
335,"Glenn Close",1947
680336,"David Phillips",1951
952336,"Valeriya Zaklunnaya",1942
4250336,"Taraneh Mehdi-Behesht",1995
2992338,"Luca Prodan",1953
918339,"Herschel Weingrod",1947
459339,"Dzintra Kletniece",1946
340,"Cindy Crawford",1966
1309340,"Robert Badinter",1928
799340,"Marcel Simard",1945
408340,"Minoru Inaba",1951
408346,"Gorô Inagaki",1973
884347,"Valentino Garavani",1932
374348,"Laurie Heineman",1948
1445349,"Zorion Eguileor",1946
2924350,"Adina Pintilie",1980
1309350,"Jason Baldwin Stewart",1974
353,"Willem Dafoe",1955
204353,"Chip Davis",1947
782353,"Christian Seidel",1976
51355,"Ferenc Balázs",1951
969355,"Shin'ichi Ichikawa",1941
238355,"Denis Drouin",1916
1496355,"Guido Westerwelle",1961
119357,"Kate Buffery",1957
2312358,"Guillermo Barrientos",1985
1513358,"Acie Blaze",1980
1411358,"Tomas Hejtmanek",1971
1751358,"Carolyn Dawn Johnson",1971
359,"Olivier De Funès",1949
680360,"Dino Phillips",1969
1190360,"Dimitar Mitovski",1964
2601360,"Denise Channing",1956
1292361,"The GZA",1966
646361,"Célia Olga",1946
3995362,"Alejandro de Pablo",1980
6426362,"Jiani Shen",1983
4590363,"Vitalina Bibliv",1980
3706364,"Jason Francisco",1987
17366,"Alfredo Alcón",1930
366,"Catherine Deneuve",1943
7259368,"Evan Tedlock",1988
510370,"Valerie Lilley",1939
17370,"Pilar Alcón",1952
370,"Walt Disney",1901
1309372,"Lilyana Batuleva",1926
782373,"Rupert J. Seidel",1955
4879374,"Koukoulis Konstantinos",1987
629374,"Eileen Nicholas",1946
255375,"Lawrence Elman",1965
459375,"Bart Klever",1956
340376,"Ján Gresso",1952
376,"Fran Drescher",1957
544377,"Monika Manz",1947
714377,"Evanthia Reboutsika",1958
170379,"William Colby",1920
170381,"Tim Colceri",1951
408381,"Kadir Inanir",1949
527382,"Karolina Lutczyn",1975
1445385,"Candela Figueira",1978
1972385,"Django Bates",1960
386,"Roland Emmerich",1955
1122386,"Anne-Aymone Giscard d'Estaing",1933
357388,"Stuart Hamblen",1908
2482388,"Albina Dzhanabaeva",1979
85389,"Laura Black",1929
238389,"Coral Drouyn",1945
153389,"Nigel Charnock",1960
390,"Joe Eszterhas",1944
646390,"Serap Olguner",1952
442391,"Awtar Krishna Kaul",1939
867391,"Eijirô Tôno",1907
238393,"Antonio Drove",1942
2516393,"Darek",1980
1190395,"Craig Moorhead",1974
2805396,"Cheng-Fang Pao",1959
289398,"Julie Foy",1970
398,"Sally Field",1946
918400,"Klaus R. Weinrich",1954
401,"Laurence Fishburne",1961
3570401,"Yasmin Mitri",1987
1156401,"Jerzy Siewierski",1932
425401,"Joseph Alan Johnson",1957
544404,"Armando Manzanero",1935
405,"Michelle Forbes",1965
901406,"Amnon Wolf",1971
2329407,"Ato Bautista",1980
51408,"Piet Bambergen",1931
1887409,"Dani Rosenberg",1979
119411,"Aldo Bufi Landi",1923
411,"Edward Furlong",1977
204412,"Dale Davis",1969
413,"Janeane Garofalo",1964
629416,"Patrick Nicholas",1974
2652418,"Austin Michael Scott",1985
714420,"Giuseppe Recchia",1934
187421,"Guido Crepax",1933
1513421,"Janny Brandes-Brilslijper",1916
1853422,"Jaron Whitfill",1986
424,"Hugh Grant",1960
8296425,"Karim Kaloga",2004
1802425,"Ersan Özer",1969
1105428,"Iosif Ivanovici",1845
799428,"Milan Simek",1934
430,"Steve Guttenberg",1958
782430,"Ulrich Seidl",1952
765430,"Joseph W. Sarno",1921
1836432,"Timothy Burke",1962
102434,"Steve Boyum",1952
340436,"Kevin Greutert",1965
357436,"John Hambrick",1940
436,"Curtis Hanson",1945
714437,"Marc Recha",1970
238440,"Janez Drozg",1933
340443,"Bredo Greve",1939
3553443,"Dilma Rousseff",1947
510443,"Silva Lillrank",1973
1785445,"Sophia Reis",1988
1309446,"Sandra Blázquez",1987
3247448,"Lavinia Meijer",1983
17450,"Charles Bernstein",1943
453,"Ian Holm",1931
17454,"David Alden",1949
4488455,"Arjun Nair",1987
1224455,"Fat Mike",1967
8483455,"Jana Pareigis",1981
4114456,"Lauren Caster",1991
4488456,"David Collenette",1946
544457,"Nicola Manzari",1908
2278458,"Prachi Desai",1988
459459,"Julie Maddalena",1963
459,"Timothy Hutton",1960
17460,"Ginger Alden",1956
374462,"Christiane Heinrich",1969
1326464,"Isabel Bernadette Brammer",1981
1275467,"Lorenzo Eduardo",1982
34469,"Rod Argent",1945
469,"James Earl Jones",1931
442470,"Kamini Kaushal",1927
2023472,"Kazik Staszewski",1963
473,"Diane Keaton",1946
51474,"Suzanne Kay",1960
2567478,"Pavla Slabá",1963
1088478,"Peter Dukes",1978
238478,"Michel Drucker",1942
3094479,"Fabien Hagege",1991
1156480,"Mason Storm",1977
136480,"Gil Cardinal",1950
476481,"Aleksandr Kutepov",1929
493481,"Ubaldo Lay",1917
4199482,"Christian Habekost",1962
765482,"Nissim Sarousy",1948
1989482,"Ju-Feng Ma",1955
578483,"Jean-Pierre Melville",1917
1241484,"Václav Holanec",1970
289484,"Carla Fracci",1936
1309488,"Gerald Brenan",1894
442488,"Ellis Kaut",1920
492,"Jennifer Jason Leigh",1962
595492,"Ank van der Moer",1912
476493,"Silvia Kutika",1958
2584493,"Don Hardy",1958
340493,"Shani Grewal",1958
2771494,"Nikol Fischerová",1977
1207494,"Adrian Rayment",1970
289494,"Ewa Frackiewicz",1930
495,"Téa Leoni",1966
1258495,"Iosif Shulman",1912
85496,"Ryan Rajendra Black",1973
497,"Jennifer Lien",1974
884498,"Lourdes Valera",1963
498,"Matthew Lillard",1970
499,"Bai Ling",1966
1258499,"Axel Sichrovsky",1974
119501,"Niall Buggy",1948
2261501,"Tom Egeland",1959
1088503,"Steve Hirsch",1961
272504,"Kelly Ferguson",1979
3077505,"Aleksey Agopyan",1960
731506,"Randy Roberts",1945
1241506,"Hermann Huppen",1938
34509,"Vinny Argiro",1940
799509,"Nikola Simic",1934
136509,"Julieta Cardinali",1977
5372510,"Antonio Chavez Trejo",1981
2873510,"Jennings Randolph",1902
476510,"Perran Kutman",1949
511,"Shirley MacLaine",1934
680512,"John Phillips",1935
442512,"Caroline Kava",1949
408513,"Robert Indiana",1928
918513,"Craig Weintraub",1981
544513,"Jean Manzon",1915
510514,"Chang Jung Lim",1973
901514,"Nikolay Volkov",1934
680515,"John Phillips",1914
391516,"Kai Holm",1896
1241516,"Shinji Imaoka",1965
519,"David Mamet",1947
629525,"Indigo",1984
884526,"Valeria Valeri",1921
901526,"Nikolay Volkov",1902
459528,"Stanislav Klymenko",1954
289531,"Marshall Frady",1940
